Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
nerve,0.9,172.5,0.9,117.3,26.1,27.0,FURIA,21.1,37.0,26.8,31.3,21.1
nobody,0.9,175.3,0.9,114.6,28.8,30.9,EDward Gaming,24.6,28.5,22.2,55.6,25.7
oonzmlp,1.0,202.4,1.0,132.7,32.8,25.1,VARREL,66.9,60.9,66.9,85.9,79.6
pANcada,0.8,153.9,0.8,108.4,34.5,14.9,LOUD,5.3,7.4,9.9,89.4,19.4
penny,0.9,190.5,1.0,124.0,19.8,32.4,Cloud9,50.0,52.1,43.7,2.8,30.3
primmie,1.3,265.6,1.4,168.8,31.8,41.3,FULL SENSE,100.0,99.6,100.0,80.3,99.6
purp0,1.0,175.1,1.1,116.0,42.4,19.5,Team Liquid,24.3,67.3,24.6,99.3,54.2
qiutiaN,1.0,188.9,1.0,130.1,24.6,,Nova Esports,46.8,39.1,59.9,19.0,35.9
qpert,0.9,152.7,0.8,102.5,31.2,19.9,PCIFIC Esports,4.6,10.2,5.3,78.2,15.5
rushia,1.0,202.6,1.0,135.5,24.7,,Bilibili Gaming,67.3,64.8,74.6,19.7,59.5
s0pp,1.0,219.0,1.0,140.8,26.3,31.6,FUT Esports,88.0,56.0,86.6,32.0,71.5
sScary,0.9,170.2,0.7,118.0,25.6,,FunPlus Phoenix,18.0,3.5,28.9,27.5,9.2
saadhak,1.1,204.4,1.0,131.8,25.1,37.3,KRÜ Esports,70.8,65.1,64.4,22.5,56.9
seven,1.0,204.9,1.0,135.1,24.8,35.5,PCIFIC Esports,71.8,45.4,72.9,20.8,53.5
sheydos,0.9,155.9,0.8,100.9,30.9,22.9,Karmine Corp,6.0,18.7,3.9,76.1,18.0
silentzz,0.9,167.2,0.9,111.3,27.8,26.5,KRÜ Esports,14.8,22.2,16.2,46.8,16.5
skuba,1.0,183.0,1.1,120.6,25.3,24.9,Mega Minors,37.0,73.6,35.9,24.3,38.0
slowly,1.1,217.8,1.2,140.3,30.1,,TYLOO,87.7,94.4,84.9,68.7,93.7
sociablEE,1.0,187.9,1.0,120.0,25.6,21.1,FUT Esports,44.7,57.7,34.2,27.1,35.2
something,1.1,208.8,1.3,136.8,25.9,25.5,Paper Rex,78.5,97.2,78.5,29.2,80.6
spike,1.0,220.5,1.1,140.4,24.4,37.8,LEVIATÁN,89.8,82.7,85.6,17.3,76.4
splash,1.1,255.5,1.2,162.6,28.6,,TYLOO,99.6,94.7,99.6,54.9,95.8
starxo,0.9,180.1,0.9,120.1,24.6,33.4,Gentle Mates,29.9,34.5,34.5,18.7,21.5
stax,1.0,181.2,1.1,121.0,26.6,34.8,T1,33.1,78.5,36.6,34.5,43.1
stew,1.0,206.5,1.0,132.2,29.1,,JDG Esports,73.9,55.3,65.8,60.6,68.0
sturNN,0.7,158.1,0.8,95.4,29.1,22.0,ULF Esports,8.1,7.0,1.8,61.1,9.5
supamen,1.0,188.5,1.0,126.4,35.8,15.4,Evil Geniuses,45.4,53.2,51.4,93.7,64.8
swagzor,0.8,200.9,0.8,129.1,27.5,,Nova Esports,64.1,12.7,57.4,43.3,40.7
sword9,0.9,159.3,0.9,108.2,24.4,,TYLOO,8.5,22.9,9.2,16.9,4.9
t3xture,1.0,229.4,1.1,146.1,23.8,27.3,Gen.G,95.8,68.7,93.7,14.8,75.7
tex,0.8,164.0,0.8,109.2,31.1,21.2,MIBR,11.6,14.1,11.6,76.8,19.7
thyy,0.8,164.3,0.8,110.3,28.3,12.5,FULL SENSE,12.0,9.2,14.4,51.8,13.6
trent,1.1,198.2,1.2,135.2,29.9,30.3,G2 Esports,62.0,89.4,73.2,66.5,82.4
v1c,1.0,187.7,1.1,124.0,29.2,29.6,Cloud9,44.0,79.2,44.0,62.3,60.6
