Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
2ge,0.9,166.1,0.9,110.2,29.4,17.6,Rex Regum Qeon,8.8,31.5,9.2,61.0,19.2
AAAAY,0.8,194.2,1.1,124.8,28.9,6.4,FunPlus Phoenix,54.6,72.7,46.8,56.8,61.5
AAK,,205.1,1.0,109.0,,,TYLOO,71.2,55.4,8.2,,43.1
AC,,204.1,1.1,135.0,,,Titan Esports Club,70.4,69.2,68.8,,76.5
ANGE1,0.8,172.4,0.8,116.6,33.4,6.8,Natus Vincere,20.8,12.3,24.0,86.4,30.0
Abo,,208.6,1.0,140.2,,,Titan Esports Club,75.8,49.6,80.0,,73.5
Alfajer,1.1,217.3,1.2,145.0,30.2,11.4,FNATIC,86.2,95.0,86.8,65.3,95.0
Anthem,0.8,155.8,0.7,105.5,24.2,11.4,DetonatioN FocusMe,4.2,3.1,6.0,18.3,3.5
Apoth,0.8,169.1,0.9,115.0,32.6,14.0,Evil Geniuses,13.1,15.4,19.6,81.2,25.8
Asuna,1.0,208.3,1.1,133.9,20.4,13.5,100 Thieves,75.4,75.4,66.8,4.2,56.2
AtaKaptan,1.0,193.8,1.0,124.2,26.5,14.6,FUT Esports,53.1,51.5,44.8,36.2,45.4
Autumn,1.0,211.2,1.1,138.2,30.4,26.2,FunPlus Phoenix,79.2,74.6,75.6,66.7,81.5
B1ack,,197.2,1.0,121.7,,,Titan Esports Club,60.0,59.6,37.6,,53.5
B3ar,,135.8,0.7,,,,Bilibili Gaming,0.4,2.7,,,0.4
BORKUM,1.0,190.3,1.0,123.4,22.2,14.7,Team Secret,47.3,48.1,41.6,9.9,31.5
BeYN,1.0,181.3,1.0,121.3,26.9,23.7,DRX,31.9,63.8,34.4,41.8,40.4
Benkai,0.9,165.9,0.9,115.4,25.9,11.7,Global Esports,8.5,23.8,20.8,30.5,14.2
BerLIN,0.9,188.8,1.0,126.6,31.7,4.8,FunPlus Phoenix,43.8,37.7,50.0,75.1,51.9
Biank,0.8,180.7,0.9,114.2,18.7,29.6,Trace Esports,31.5,16.2,15.6,0.5,9.2
Boaster,0.8,150.0,0.8,98.3,23.5,11.3,FNATIC,2.3,10.8,1.6,15.0,1.9
Boo,1.0,176.4,1.0,113.7,32.2,13.7,Team Heretics,25.0,63.5,14.4,78.2,44.2
Boostio,0.8,177.4,0.9,121.0,24.7,15.6,100 Thieves,26.2,22.7,33.2,22.5,18.5
Brave,0.9,182.4,0.9,121.5,34.8,26.1,BBL Esports,35.0,28.5,36.4,92.5,47.7
BuZz,1.1,240.0,1.2,152.6,23.2,20.1,DRX,97.3,88.1,93.6,13.6,80.4
C0M,0.9,167.9,0.9,114.2,22.1,17.4,LEVIATÁN,11.2,15.8,16.0,8.9,6.9
CB,,194.0,1.0,131.3,,,Nova Esports,53.8,39.2,60.8,,50.4
CHICHOO,1.1,201.6,1.2,134.4,29.1,11.0,EDward Gaming,65.8,87.7,68.0,58.2,77.3
Carpe,0.9,178.5,0.9,117.8,26.1,13.4,T1,27.7,22.3,25.2,32.4,18.8
Chronicle,1.1,208.1,1.2,139.1,24.7,24.0,FNATIC,74.2,93.1,76.8,22.1,70.0
Cloud,1.0,201.6,1.0,135.6,24.5,10.1,GIANTX,65.4,46.9,70.0,21.1,50.0
Crws,0.8,152.5,0.8,103.5,24.3,19.5,Talon Esports,3.1,4.6,3.6,19.2,2.7
Cryocells,1.1,227.7,1.3,148.3,25.7,20.9,100 Thieves,92.7,99.2,90.8,28.6,87.7
Demon1,0.9,207.2,1.0,139.8,34.6,8.7,NRG Esports,72.7,38.8,79.2,92.0,77.7
Dep,1.0,230.4,1.1,150.0,27.8,16.5,ZETA DIVISION,93.8,71.9,92.0,48.4,85.4
Derke,1.1,239.3,1.2,156.9,27.3,24.1,FNATIC,95.8,93.8,96.4,44.1,93.5
Derrek,1.0,195.8,1.0,130.7,36.1,14.1,Evil Geniuses,57.3,62.3,60.0,94.8,73.8
Deryeon,0.9,190.4,0.9,124.9,27.1,10.8,BLEED,48.5,18.8,47.2,42.7,35.8
Destrian,0.9,162.9,0.8,116.3,21.4,9.4,Team Vitality,6.9,9.6,22.4,6.6,6.2
Dingwei,,177.5,0.9,,,,Dragon Ranger Gaming,26.5,14.6,,,13.8
Egoist,1.0,201.6,1.1,131.8,25.7,19.7,BLEED,66.2,66.5,62.0,27.7,57.3
Elite,1.1,209.9,1.3,139.3,44.9,12.9,BBL Esports,77.7,98.5,77.6,100.0,97.3
Enzo,0.9,170.9,0.9,114.2,19.8,4.1,Team Liquid,16.9,35.4,16.4,1.9,11.2
Eren,,199.6,1.0,132.7,,,TYLOO,63.1,44.2,64.0,,60.0
Estrella,0.9,166.6,0.9,109.0,29.5,6.7,Rex Regum Qeon,9.6,23.5,8.2,62.9,17.3
