Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
10X,1.0,209.9,1.2,135.2,25.8,14.1,HolyMolly,73.8,82.5,69.5,60.2,78.6
1DW,0.7,192.0,0.6,124.3,13.3,0.0,Zeal,54.8,15.8,50.2,1.7,23.8
1NSANE,0.5,158.0,0.6,103.0,16.7,0.0,Cloud Nein,21.5,15.8,18.8,6.6,8.0
1TaPGoD,0.9,193.3,1.0,127.0,29.6,26.0,True Rippers,56.3,60.1,55.0,80.9,67.1
20skid,0.4,124.0,0.4,85.0,27.0,11.0,Dark Circle,6.2,5.1,6.4,67.8,12.7
2RUSH,0.6,175.7,0.7,107.7,16.0,0.0,Neons Ninjas,37.6,22.0,24.2,5.2,13.5
2ge,1.1,192.8,1.2,124.9,25.9,27.5,Rex Regum Qeon,55.6,86.5,51.1,60.8,67.7
3005,1.3,268.0,1.4,176.3,26.0,17.0,DawN,98.6,96.0,99.1,61.7,97.2
3oh1,0.8,197.0,0.8,122.8,28.4,7.8,Agoge Gaming,60.2,31.4,47.2,75.4,53.0
4DR,1.0,204.7,1.2,132.9,18.6,18.5,ROLO COMPRESSOR,69.0,82.3,65.4,12.3,58.7
4dibb,0.8,211.7,0.9,143.3,28.7,11.0,Cloud Nein,75.5,44.5,82.2,76.6,76.3
4x4ever,0.8,170.2,0.8,118.5,18.5,11.3,Incarnations of Victory,31.9,34.1,40.7,12.1,22.4
5AM,0.7,153.0,0.7,98.7,21.0,50.0,Lucky Cat Gaming,18.4,23.4,15.1,24.9,11.8
66J,0.9,192.2,0.9,127.8,18.5,11.4,RILLAS,54.9,52.2,56.3,11.9,40.6
7ssk7,1.1,224.4,1.1,144.4,23.2,14.9,Natus Vincere,85.8,80.2,83.5,40.2,80.0
83Y0nd1357,1.1,241.6,1.2,152.7,19.8,8.0,303 Esports,94.1,89.1,91.6,17.7,81.4
9er,0.8,176.3,0.8,129.4,28.3,11.7,TEN-5,38.5,38.1,59.6,74.6,52.0
A1D,0.5,134.0,0.5,92.0,16.0,33.0,S4-GE,9.4,6.9,10.2,5.2,2.7
ABATMAN,0.9,199.8,0.9,133.0,23.6,8.4,Action PH,63.6,46.5,65.6,42.7,54.8
ACCEL,1.0,175.2,0.9,114.4,27.7,12.6,Team Rocket,37.2,51.6,34.5,71.7,46.6
ADRENALINE,1.0,168.7,1.0,117.7,24.2,15.1,Zero MarksMen Black,30.2,55.9,39.9,48.0,40.3
AGB,0.7,143.9,0.6,101.9,15.9,4.6,Gx,13.3,18.0,17.7,4.9,6.2
AJ,0.8,182.2,0.8,114.8,25.0,7.8,Gx,45.1,42.4,35.0,54.1,41.2
ALEKSANDAR,1.0,180.0,1.1,118.1,39.8,15.4,Skwirel Warriers,42.5,75.0,40.3,98.6,68.3
ALLUKA,0.4,148.0,0.5,99.0,31.0,0.0,W Streak Esports,15.5,6.9,15.4,86.2,24.3
ANDROID,1.1,207.0,1.3,138.3,28.5,26.4,NRG Esports,71.1,93.0,74.7,75.9,88.7
ANGE1,0.8,163.8,0.8,110.6,30.3,8.9,FunPlus Phoenix,26.0,31.1,28.3,84.1,38.8
ARES,1.0,173.8,1.0,117.0,21.4,12.7,Aspyre,35.6,65.3,39.0,27.4,38.0
ARtgun,0.5,113.7,0.4,74.3,16.0,18.1,Aristocrats,4.4,5.3,3.4,5.2,1.2
AYRIN,1.0,174.8,1.0,115.2,18.4,13.1,XSET,36.4,68.6,36.0,11.5,33.3
Abdur,1.0,159.4,0.9,107.5,27.8,20.2,Team Exploit,22.5,51.4,24.0,71.9,38.9
Abram,1.0,212.8,1.0,147.8,23.8,26.6,Gx,76.6,59.1,87.7,43.9,72.2
AcE,0.6,161.7,0.6,99.7,40.3,0.0,S4-GE,24.1,19.8,16.0,98.7,35.1
AcMe,1.0,204.2,1.1,130.3,24.1,25.5,HAYABUSA Gaming,68.5,73.4,61.0,47.4,66.5
AcTivv,0.6,150.0,0.6,100.0,18.0,0.0,Vx,16.4,16.6,16.3,10.5,7.5
Ace,1.0,212.9,1.0,138.1,26.7,19.8,Griffin E-Sports,76.7,63.2,74.4,66.2,76.9
Acen,0.8,159.0,0.7,106.7,25.0,12.7,Runaway,22.2,27.6,22.9,54.1,25.4
Achinth,0.5,137.0,0.4,105.0,26.0,0.0,Anime Aimers,10.2,5.6,21.0,61.7,16.5
Adada1,0.7,216.3,0.8,138.0,20.0,0.0,eu e as 4 mulas,79.8,32.3,74.2,18.9,50.0
Adam,1.0,234.6,1.1,154.1,20.5,3.9,Exotic,91.1,77.0,92.7,22.1,77.6
Addicted,1.0,174.4,1.0,117.4,30.2,28.2,Sharks Esports,36.1,57.5,39.5,83.6,53.9
Aero,0.8,171.1,0.9,113.4,29.7,10.4,Free Fall,32.8,51.8,32.9,81.5,47.9
Agility,0.9,188.2,0.9,120.0,21.4,8.1,Moonrise,50.8,44.5,42.9,27.2,37.7
Agr0,0.8,215.4,0.9,141.7,28.7,10.5,Free Fall,78.7,47.8,79.7,76.9,77.7
Aiko,1.0,202.2,0.9,135.2,26.4,5.2,OMICRON,66.6,47.2,69.5,64.4,65.6
AimGreen,1.0,179.5,1.9,121.8,22.0,19.2,Medellin,41.7,99.6,45.9,31.4,54.9
Akaashi,0.8,155.2,0.7,109.5,34.8,0.0,Crownless,19.8,30.0,26.5,94.7,39.2
Akali,0.9,213.3,0.8,137.7,24.7,8.7,We Need Sponsor,77.1,38.8,73.6,51.5,63.0
Akame,0.8,178.0,0.8,116.0,22.0,6.5,Jadeite,40.5,33.6,37.5,31.4,30.4
Akashi,0.8,161.5,0.7,109.7,20.4,13.7,CERBERUS Esports,24.0,26.0,26.6,21.2,16.1
Akasy,0.7,157.5,0.7,111.2,27.2,0.0,Imaginary Savior,21.1,23.1,29.5,69.3,30.5
Akleous,1.1,224.3,1.2,144.0,24.1,17.7,OneShot Esports,85.7,87.2,82.8,47.8,85.3
Akula,0.9,168.7,0.9,111.6,21.5,12.3,StarBound,30.3,44.0,30.0,28.2,27.3
Akxshi,1.0,210.7,1.1,139.8,28.5,15.9,doidera,74.5,80.0,76.6,75.8,86.3
Alec,0.4,91.7,0.3,66.0,35.3,0.0,LionHeart,1.4,2.1,1.9,95.8,17.2
Aleks,1.1,260.9,1.3,170.0,27.2,28.4,leptospirose,97.8,90.3,98.3,68.8,97.2
Alex,1.0,212.7,1.0,146.6,14.8,4.6,Next eSports,76.5,59.2,86.3,3.3,57.4
Alfajer,1.1,236.8,1.2,158.6,28.7,17.1,FNATIC,92.1,83.1,95.0,76.9,95.7
Ali,0.5,112.0,0.3,69.0,14.0,0.0,Girl Kissers,4.0,2.5,2.5,2.3,0.9
AllStar,0.8,166.5,0.7,109.1,25.2,4.0,Nameless Esports,28.3,28.8,26.0,55.8,29.1
Allan,1.0,200.7,1.0,130.0,31.2,10.2,TradeLikePros,65.1,59.4,60.3,86.9,73.8
AloNeFillz,1.0,194.7,1.1,129.3,21.2,11.6,Made in Thailand,58.1,70.0,59.4,26.2,52.9
AlphaFly,0.7,149.9,0.7,96.8,25.5,8.5,AstraSect,16.2,21.5,13.4,57.8,19.3
Altered,1.1,215.3,1.3,145.1,18.6,0.0,FYL,78.7,90.1,84.6,12.4,71.4
AlviN,0.7,173.0,0.7,106.4,20.4,0.0,Crash Landin on You,34.6,27.7,22.6,21.5,18.7
Amaterasu,1.0,188.4,1.0,121.2,30.6,8.5,Velocity Gaming,51.0,62.0,45.0,85.0,64.1
Andersin,1.1,216.2,1.3,143.8,29.5,23.7,Nearest Airport,79.7,94.3,82.6,80.8,94.2
