Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
Izzy,1.1,234.0,1.2,145.6,18.0,22.2,Papara SuperMassive,88.7,88.9,85.9,17.2,78.1
JASONTRUONG,0.6,124.0,0.5,76.0,19.0,0.0,EGO,2.3,4.1,1.9,22.6,2.7
JDRelax,,209.3,0.8,120.1,23.0,0.0,Kaizen Esports,68.4,29.8,41.6,50.1,46.3
JLFly,0.7,173.8,0.8,104.2,26.4,3.0,MAXD Esports,29.4,26.2,17.3,75.0,30.4
JN,0.7,154.6,0.6,90.9,23.7,16.4,Reckoning Esports,13.0,9.9,6.1,55.2,11.2
Jady,,224.5,1.2,144.9,32.2,3.2,Ninjas in Pyjamas,82.4,89.1,84.8,95.6,96.0
Jamppi,1.1,217.1,1.3,131.9,21.4,22.1,Team Liquid,77.1,94.0,64.3,37.9,75.3
JdFaker,,179.8,1.0,115.1,16.0,17.5,Team SMG,35.4,54.9,33.6,7.9,25.8
Jeong Hi,1.0,207.6,1.0,134.5,23.2,10.8,DAMWON Gaming,67.0,67.0,69.4,52.1,69.7
Jesse,0.9,182.9,1.0,127.5,20.9,26.1,Nebula,38.6,59.3,56.2,34.1,45.3
JessieVash,1.0,196.1,1.1,131.2,22.6,21.8,Team Secret,54.0,69.8,63.4,46.7,61.6
JhoW,0.8,154.7,0.8,99.3,15.4,17.4,Keyd Stars,13.1,24.4,12.3,6.3,5.4
Jinggg,1.1,239.7,1.2,149.5,15.6,0.0,Paper Rex,91.2,87.4,89.1,6.8,75.7
Jinsoul,0.8,196.0,0.8,130.0,21.0,0.0,m.eS Revolutionary Gamers,53.5,23.8,60.9,35.4,39.8
Jinx,1.0,225.7,1.0,144.8,21.4,38.9,FENNEL,83.6,62.4,84.6,37.8,73.6
Jivix,1.1,224.6,1.2,140.6,26.3,16.5,Team Arrow,82.6,84.0,78.0,74.4,89.6
JoJo,0.7,166.0,0.7,107.0,24.0,0.0,YODHA Esports B,21.8,16.6,21.0,57.7,21.3
JoXJo,,208.2,0.9,128.8,16.1,0.0,GoNGo Prince,67.6,52.1,58.9,8.5,44.7
