Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
2GE,0.8,165.1,0.8,106.9,21.6,17.2,Team Secret,14.1,8.6,9.1,4.6,3.5
5CM,0.8,165.1,0.7,120.8,21.8,,TYLOO,13.7,6.1,38.1,4.9,6.7
AAAAY,1.1,192.6,1.2,131.2,37.8,,FunPlus Phoenix,53.0,90.1,65.8,97.1,87.5
ANGE1,0.8,151.3,0.7,102.6,33.5,33.6,Natus Vincere,5.4,6.7,5.2,81.1,15.3
Abo,1.0,189.8,1.0,127.4,37.7,,Titan Esports Club,47.9,41.5,54.4,96.4,65.8
Add3r,0.9,194.3,1.0,125.3,32.7,,FURIA,57.2,50.2,49.8,77.4,63.3
Akame,1.0,204.3,1.0,133.8,31.4,27.8,DetonatioN FocusMe,75.1,40.3,73.6,65.5,72.2
Akeman,0.9,191.2,0.9,125.6,26.6,35.7,Dragon Ranger Gaming,50.2,20.1,50.2,29.0,32.3
Alfajer,1.1,226.1,1.2,149.1,33.1,31.2,FNATIC,91.7,88.8,94.5,78.5,96.2
Art,0.7,153.8,0.7,102.5,20.7,47.5,DetonatioN FocusMe,6.4,3.5,4.9,3.3,2.2
Ash,1.0,175.9,1.1,117.9,31.5,30.8,Gen.G,24.9,77.6,29.3,66.4,45.7
Askia,0.9,191.3,0.9,132.4,31.3,58.7,2Game Esports,50.5,30.4,70.0,64.2,54.0
Asuna,1.0,211.9,1.1,139.6,23.0,54.8,100 Thieves,81.2,61.3,82.4,8.5,62.3
AtaKaptan,1.0,180.2,0.9,117.1,30.2,44.1,FUT Esports,31.9,35.1,26.7,58.3,32.9
Autumn,1.1,198.4,1.1,136.1,32.0,,FunPlus Phoenix,64.2,72.5,77.5,71.3,80.5
Avez,1.1,209.1,1.2,137.7,33.8,34.6,Karmine Corp,78.3,85.3,80.1,83.1,91.7
AvovA,0.8,160.4,0.8,104.9,34.5,24.1,Apeks,9.6,7.3,6.8,86.3,20.1
