Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
2ge,1.0,173.6,1.0,114.8,27.7,12.6,Rex Regum Qeon,21.1,52.8,23.6,67.7,36.3
9st,0.8,164.7,0.7,103.9,25.2,7.4,Night Wings Gaming,9.9,4.9,7.1,48.6,8.5
AAAAY,1.1,200.7,1.1,140.7,38.0,11.3,FunPlus Phoenix,64.8,66.2,79.3,98.2,87.0
AC,0.9,165.3,0.9,88.9,28.6,17.4,Shenzhen NTER,10.6,39.1,3.2,73.8,22.9
ANDY,0.6,126.1,0.5,86.4,15.9,0.0,Kingzone,1.8,1.4,2.5,1.8,0.4
ANGE1,0.9,180.8,0.8,118.7,29.8,12.1,Natus Vincere,31.3,15.1,31.8,82.1,34.2
AYRIN,0.9,169.2,0.8,109.2,19.8,14.8,Global Esports,15.8,13.0,14.6,9.3,5.3
Abo,1.0,209.1,1.0,143.9,35.2,12.4,TYLOO,74.3,55.3,84.6,96.8,89.4
Ace,1.0,173.4,0.9,113.3,33.8,13.8,Four Angry Men,20.8,39.8,21.4,92.9,40.5
Alfajer,1.2,223.0,1.5,147.3,28.6,17.5,FNATIC,87.0,100.0,89.6,74.3,98.2
Anthem,0.9,189.4,0.9,127.8,26.0,19.3,DetonatioN FocusMe,46.1,24.3,53.2,55.4,43.3
Aowha,0.8,167.8,0.7,111.0,24.1,14.5,Number One Player,14.4,7.4,18.6,39.3,10.9
Artill,0.7,165.6,0.7,107.7,21.9,6.6,Invincible Gaming,11.6,4.6,11.1,22.9,4.9
AsLanM4shadoW,0.9,192.5,0.9,130.9,25.5,19.0,BBL Esports,52.1,36.6,61.1,51.8,49.3
Asuna,1.0,202.7,0.9,133.5,20.8,14.1,100 Thieves,67.6,37.0,64.6,15.7,45.1
AtaKaptan,1.0,190.4,1.0,121.4,28.9,23.6,FUT Esports,47.9,60.6,36.8,76.1,55.3
AvovA,0.9,173.2,0.8,111.4,24.6,11.1,Team Heretics,20.1,16.5,18.9,44.3,15.1
B3ar,1.1,182.2,1.1,119.2,34.8,9.5,Shenzhen NTER,33.8,83.5,32.5,95.7,65.1
BONECOLD,0.9,164.6,0.8,107.6,29.2,13.2,Team Vitality,9.2,12.0,10.7,78.2,17.3
BORKUM,1.0,180.1,0.9,116.5,19.7,19.7,Team Secret,30.6,28.5,26.1,8.6,14.1
Babyblue,1.0,226.5,1.0,148.8,26.6,12.1,Gank Gaming,90.1,51.4,91.1,57.9,81.0
Bazzi,1.0,191.3,0.9,122.9,17.1,10.6,Global Esports,50.7,33.8,41.8,2.1,23.9
BcJ,1.1,189.6,0.9,119.1,18.5,16.0,Evil Geniuses,47.2,38.7,32.1,4.3,20.8
